owner,name,full_name,html_url,language,stars,forks,open_issues,size_kb,has_wiki,has_pages,has_readme,has_docker,has_cicd,has_tests,repo_age_days,days_since_last_update,quality_label,quality_score,improvement_suggestions
tobie,specref,tobie/specref,https://github.com/tobie/specref,JavaScript,169,151,35,539925,0,1,1,0,1,1,4815,0,Production Ready,71,Add Docker support
HarperFast,harper,HarperFast/harper,https://github.com/HarperFast/harper,JavaScript,78,10,668,220950,1,1,1,1,1,0,337,0,Intermediate,55,Add unit/integration tests
pchuri,confluence-cli,pchuri/confluence-cli,https://github.com/pchuri/confluence-cli,JavaScript,245,61,0,1009,1,0,1,0,1,1,392,0,Intermediate,69,Add Docker support
bot-talk-k,BotTalk,bot-talk-k/BotTalk,https://github.com/bot-talk-k/BotTalk,JavaScript,12,4,1,2539,0,0,1,1,1,1,107,0,Intermediate,62,Great job! Keep it up.
mwakidenis,Amazon-clone,mwakidenis/Amazon-clone,https://github.com/mwakidenis/Amazon-clone,JavaScript,21,1,0,21283,1,0,1,0,1,0,163,0,Beginner,35,"Add unit/integration tests, Add Docker support"
dqzboy,Docker-Proxy,dqzboy/Docker-Proxy,https://github.com/dqzboy/Docker-Proxy,JavaScript,4322,601,0,2042,0,0,1,1,1,0,775,0,Intermediate,80,Add unit/integration tests
webtorrent,webtorrent,webtorrent/webtorrent,https://github.com/webtorrent/webtorrent,JavaScript,31282,2881,83,52986,0,1,1,0,1,1,4664,0,Production Ready,96,Add Docker support
Drlanderf,clara_oswald,Drlanderf/clara_oswald,https://github.com/Drlanderf/clara_oswald,JavaScript,20,44,7,11303,1,1,1,1,1,0,1363,0,Intermediate,56,Add unit/integration tests
nolddor,steam-badges-db,nolddor/steam-badges-db,https://github.com/nolddor/steam-badges-db,JavaScript,27,0,1,9325,1,1,0,0,1,1,1322,0,Beginner,39,"Add a README file, Add Docker support"
xhyrom,discord-datamining,xhyrom/discord-datamining,https://github.com/xhyrom/discord-datamining,JavaScript,64,12,3,41483226,0,1,1,0,1,0,1705,0,Beginner,45,"Add unit/integration tests, Add Docker support"
Soubhik1000,kernelplay,Soubhik1000/kernelplay,https://github.com/Soubhik1000/kernelplay,JavaScript,30,1,4,5370,1,0,1,0,0,0,207,0,Beginner,21,"Add unit/integration tests, Set up CI/CD workflows, Add Docker support"
PRX,Infrastructure,PRX/Infrastructure,https://github.com/PRX/Infrastructure,JavaScript,44,11,11,11803,1,0,1,0,1,0,3508,0,Beginner,44,"Add unit/integration tests, Add Docker support"
github,include-fragment-element,github/include-fragment-element,https://github.com/github/include-fragment-element,JavaScript,568,42,3,3121,0,1,1,0,1,1,4313,0,Intermediate,70,Add Docker support
mochajs,mocha,mochajs/mocha,https://github.com/mochajs/mocha,JavaScript,22904,3143,235,32855,1,0,1,0,1,1,5616,0,Production Ready,96,Add Docker support
IgorGanapolsky,ThumbGate,IgorGanapolsky/ThumbGate,https://github.com/IgorGanapolsky/ThumbGate,JavaScript,24,6,6,43592,1,1,1,1,1,1,141,0,Intermediate,65,Great job! Keep it up.
w3c,wai-wcag-em,w3c/wai-wcag-em,https://github.com/w3c/wai-wcag-em,JavaScript,12,6,12,621,1,1,1,0,1,0,483,0,Beginner,38,"Add unit/integration tests, Add Docker support"
AnEntrypoint,agentgui,AnEntrypoint/agentgui,https://github.com/AnEntrypoint/agentgui,JavaScript,18,5,0,30926,1,1,1,1,1,0,171,0,Intermediate,49,Add unit/integration tests
brilliantdirectories,brilliant-directories-mcp,brilliantdirectories/brilliant-directories-mcp,https://github.com/brilliantdirectories/brilliant-directories-mcp,JavaScript,17,4,2,29285,1,0,1,1,1,0,96,0,Intermediate,48,Add unit/integration tests
wekan,wekan,wekan/wekan,https://github.com/wekan/wekan,JavaScript,20999,2991,347,201934,0,0,1,1,1,1,4566,0,Production Ready,100,Great job! Keep it up.
builder-247,node-autotip,builder-247/node-autotip,https://github.com/builder-247/node-autotip,JavaScript,21,5,10,712,1,0,1,0,0,0,3055,0,Beginner,24,"Add unit/integration tests, Set up CI/CD workflows, Add Docker support"
2M4U,2m4u,2M4U/2m4u,https://github.com/2M4U/2m4u,JavaScript,16,13,11,108431,1,0,1,0,1,0,1603,0,Beginner,42,"Add unit/integration tests, Add Docker support"
ZyFou,ProceduralTerrains,ZyFou/ProceduralTerrains,https://github.com/ZyFou/ProceduralTerrains,JavaScript,376,50,0,5180,1,0,1,0,1,1,43,0,Intermediate,70,Add Docker support
percona,pmm-qa,percona/pmm-qa,https://github.com/percona/pmm-qa,JavaScript,13,14,28,362020,0,0,1,0,1,0,3564,0,Beginner,41,"Add unit/integration tests, Add Docker support"
Beaver-Notes,Beaver-Notes,Beaver-Notes/Beaver-Notes,https://github.com/Beaver-Notes/Beaver-Notes,JavaScript,1312,68,14,51628,0,0,1,0,1,1,1106,0,Production Ready,74,Add Docker support
Wumpus-Central,discrapper-canary,Wumpus-Central/discrapper-canary,https://github.com/Wumpus-Central/discrapper-canary,JavaScript,36,6,0,11774935,0,0,1,0,0,0,1041,0,Beginner,26,"Add unit/integration tests, Set up CI/CD workflows, Add Docker support"
fivetaku,pumasi,fivetaku/pumasi,https://github.com/fivetaku/pumasi,JavaScript,66,13,0,2094,1,0,1,0,1,0,149,0,Beginner,45,"Add unit/integration tests, Add Docker support"
dy,jz,dy/jz,https://github.com/dy/jz,JavaScript,157,8,0,29331,1,1,1,0,1,1,617,0,Intermediate,61,Add Docker support
medic,cht-core,medic/cht-core,https://github.com/medic/cht-core,JavaScript,552,408,691,200107,0,0,1,0,1,1,5376,0,Production Ready,78,Add Docker support
NikolaiT,free-proxy-list,NikolaiT/free-proxy-list,https://github.com/NikolaiT/free-proxy-list,JavaScript,22,0,0,86037,1,0,1,0,0,0,446,0,Beginner,18,"Add unit/integration tests, Set up CI/CD workflows, Add Docker support"
mongodb,openapi,mongodb/openapi,https://github.com/mongodb/openapi,JavaScript,17,18,6,7791545,0,0,1,0,1,0,883,0,Beginner,43,"Add unit/integration tests, Add Docker support"
TryGhost,Ghost,TryGhost/Ghost,https://github.com/TryGhost/Ghost,JavaScript,54509,11826,114,544600,0,1,1,0,1,0,4828,0,Production Ready,88,"Add unit/integration tests, Add Docker support"
CennoxX,spotify-ai-blocker,CennoxX/spotify-ai-blocker,https://github.com/CennoxX/spotify-ai-blocker,JavaScript,123,12,39,4446,0,0,1,0,1,0,373,0,Beginner,47,"Add unit/integration tests, Add Docker support"
Purfview,IMDb-Scout-Mod,Purfview/IMDb-Scout-Mod,https://github.com/Purfview/IMDb-Scout-Mod,JavaScript,566,77,1,47902,1,0,1,0,0,0,2183,0,Beginner,42,"Add unit/integration tests, Set up CI/CD workflows, Add Docker support"
cap-js,mcp,cap-js/mcp,https://github.com/cap-js/mcp,JavaScript,16,3,3,969,1,0,1,0,1,1,36,0,Intermediate,52,Add Docker support
stalckerChain,MultiManager,stalckerChain/MultiManager,https://github.com/stalckerChain/MultiManager,JavaScript,40,3,0,2107,1,0,1,0,0,1,29,0,Beginner,40,"Set up CI/CD workflows, Add Docker support"
ediaz23,crunchyroll-webos-stream,ediaz23/crunchyroll-webos-stream,https://github.com/ediaz23/crunchyroll-webos-stream,JavaScript,21,2,4,118488,1,0,1,0,0,0,1178,0,Beginner,22,"Add unit/integration tests, Set up CI/CD workflows, Add Docker support"
divisi0n,status_naturalisation,divisi0n/status_naturalisation,https://github.com/divisi0n/status_naturalisation,JavaScript,53,16,0,741,1,0,1,0,0,0,576,0,Beginner,30,"Add unit/integration tests, Set up CI/CD workflows, Add Docker support"
wuyilingwei,LRC,wuyilingwei/LRC,https://github.com/wuyilingwei/LRC,JavaScript,12,0,1,594844,0,0,1,0,1,0,306,0,Beginner,31,"Add unit/integration tests, Add Docker support"
samsarone,samsar,samsarone/samsar,https://github.com/samsarone/samsar,JavaScript,55,7,0,6986,1,0,1,1,1,0,775,0,Intermediate,53,Add unit/integration tests
rhein1,agoragentic-integrations,rhein1/agoragentic-integrations,https://github.com/rhein1/agoragentic-integrations,JavaScript,24,5,0,5763,1,0,1,1,1,1,145,0,Intermediate,65,Great job! Keep it up.
unknowntokyo,surge-list,unknowntokyo/surge-list,https://github.com/unknowntokyo/surge-list,JavaScript,17,1,0,4897,1,0,0,0,0,0,2293,0,Beginner,10,"Add a README file, Add unit/integration tests, Set up CI/CD workflows, Add Docker support"
geosolutions-it,MapStore2,geosolutions-it/MapStore2,https://github.com/geosolutions-it/MapStore2,JavaScript,653,453,716,664973,1,1,1,1,1,1,4021,0,Production Ready,89,Great job! Keep it up.
sparshrestha,tech-in-nepal,sparshrestha/tech-in-nepal,https://github.com/sparshrestha/tech-in-nepal,JavaScript,13,3,1,133,1,1,1,0,1,1,2197,0,Intermediate,52,Add Docker support
JakimLi,cloe-desktop,JakimLi/cloe-desktop,https://github.com/JakimLi/cloe-desktop,JavaScript,16,5,8,286958,1,0,1,0,0,1,87,0,Beginner,39,"Set up CI/CD workflows, Add Docker support"
ngt-baor,Messenger-reup,ngt-baor/Messenger-reup,https://github.com/ngt-baor/Messenger-reup,JavaScript,17,0,0,615,1,0,1,0,0,0,40,0,Beginner,17,"Add unit/integration tests, Set up CI/CD workflows, Add Docker support"
OpenNebula,one,OpenNebula/one,https://github.com/OpenNebula/one,JavaScript,1718,526,751,138233,1,0,1,0,1,0,5613,0,Production Ready,67,"Add unit/integration tests, Add Docker support"
GoogleChromeLabs,chrome-for-testing,GoogleChromeLabs/chrome-for-testing,https://github.com/GoogleChromeLabs/chrome-for-testing,JavaScript,1248,157,36,31273,0,1,1,0,1,0,1184,0,Production Ready,62,"Add unit/integration tests, Add Docker support"
moatazhamada,ai-omni-skills,moatazhamada/ai-omni-skills,https://github.com/moatazhamada/ai-omni-skills,JavaScript,12,0,0,4812,1,0,1,0,1,1,31,0,Intermediate,46,Add Docker support
AdguardTeam,HostlistsRegistry,AdguardTeam/HostlistsRegistry,https://github.com/AdguardTeam/HostlistsRegistry,JavaScript,382,114,38,1080835,0,1,1,0,1,0,1675,0,Production Ready,58,"Add unit/integration tests, Add Docker support"
eddmpython,codaro,eddmpython/codaro,https://github.com/eddmpython/codaro,JavaScript,13,3,0,81410,1,1,1,0,1,1,132,0,Intermediate,52,Add Docker support
SEKOIA-IO,documentation,SEKOIA-IO/documentation,https://github.com/SEKOIA-IO/documentation,JavaScript,56,94,107,810661,0,0,1,0,1,0,2152,0,Production Ready,52,"Add unit/integration tests, Add Docker support"
WebKit,WebKit,WebKit/WebKit,https://github.com/WebKit/WebKit,JavaScript,10019,2070,2412,12776687,1,0,1,0,0,0,2049,0,Production Ready,62,"Add unit/integration tests, Set up CI/CD workflows, Add Docker support"
Bithomp,frontend-react,Bithomp/frontend-react,https://github.com/Bithomp/frontend-react,JavaScript,15,21,57,295568,1,0,1,0,0,0,1577,0,Beginner,28,"Add unit/integration tests, Set up CI/CD workflows, Add Docker support"
nirholas,three.ws,nirholas/three.ws,https://github.com/nirholas/three.ws,JavaScript,86,24,0,1253339,1,0,1,1,1,1,195,0,Intermediate,73,Great job! Keep it up.
smartnews-smri,house-of-representatives,smartnews-smri/house-of-representatives,https://github.com/smartnews-smri/house-of-representatives,JavaScript,181,5,0,439347,0,1,1,0,1,0,1557,0,Beginner,45,"Add unit/integration tests, Add Docker support"
michaelshimeles,adam,michaelshimeles/adam,https://github.com/michaelshimeles/adam,JavaScript,51,4,0,4017,1,0,1,0,0,0,15,0,Beginner,26,"Add unit/integration tests, Set up CI/CD workflows, Add Docker support"
AgIzT,NovelAI-Tag,AgIzT/NovelAI-Tag,https://github.com/AgIzT/NovelAI-Tag,JavaScript,26,5,1,35063,1,0,1,0,0,0,46,0,Beginner,25,"Add unit/integration tests, Set up CI/CD workflows, Add Docker support"
IBM,openapi-validator,IBM/openapi-validator,https://github.com/IBM/openapi-validator,JavaScript,630,97,32,10211,1,1,1,1,1,0,2837,0,Intermediate,68,Add unit/integration tests
DefiLlama,DefiLlama-Adapters,DefiLlama/DefiLlama-Adapters,https://github.com/DefiLlama/DefiLlama-Adapters,JavaScript,1229,7486,102,76554,1,0,1,0,1,0,2077,0,Production Ready,76,"Add unit/integration tests, Add Docker support"
pilotmoon,popclipweb,pilotmoon/popclipweb,https://github.com/pilotmoon/popclipweb,JavaScript,23,28,0,29987,0,0,1,0,1,0,1100,0,Beginner,45,"Add unit/integration tests, Add Docker support"
LukasParke,plex-api-spec,LukasParke/plex-api-spec,https://github.com/LukasParke/plex-api-spec,JavaScript,82,26,11,7851,0,0,1,1,1,0,1217,0,Intermediate,58,Add unit/integration tests
contentful,contentful-cli,contentful/contentful-cli,https://github.com/contentful/contentful-cli,JavaScript,360,73,61,175005,0,0,1,0,1,1,3248,0,Production Ready,71,Add Docker support
JiHong88,suneditor,JiHong88/suneditor,https://github.com/JiHong88/suneditor,JavaScript,1996,346,3,79187,1,0,1,0,1,1,3388,0,Production Ready,81,Add Docker support
githubnext,gh-aw-workshop,githubnext/gh-aw-workshop,https://github.com/githubnext/gh-aw-workshop,JavaScript,23,9,4,6746,1,1,1,0,1,0,14,0,Beginner,41,"Add unit/integration tests, Add Docker support"
DIYbiosphere,sphere,DIYbiosphere/sphere,https://github.com/DIYbiosphere/sphere,JavaScript,112,62,11,126242,1,0,1,0,1,0,3760,0,Beginner,52,"Add unit/integration tests, Add Docker support"
Baskerville42,outage-data-ua,Baskerville42/outage-data-ua,https://github.com/Baskerville42/outage-data-ua,JavaScript,55,7,0,12648155,1,0,1,0,1,0,259,0,Beginner,43,"Add unit/integration tests, Add Docker support"
epam,mriviewer,epam/mriviewer,https://github.com/epam/mriviewer,JavaScript,364,105,20,143902,1,0,1,0,1,0,3146,0,Beginner,57,"Add unit/integration tests, Add Docker support"
ccnmtl,mediathread,ccnmtl/mediathread,https://github.com/ccnmtl/mediathread,JavaScript,88,36,22,363242,1,1,1,1,1,1,6041,0,Intermediate,75,Great job! Keep it up.
FHIR,ig-registry,FHIR/ig-registry,https://github.com/FHIR/ig-registry,JavaScript,39,150,4,2931,1,1,1,0,1,0,3032,0,Beginner,52,"Add unit/integration tests, Add Docker support"
callie0313,dylan-heartbeat,callie0313/dylan-heartbeat,https://github.com/callie0313/dylan-heartbeat,JavaScript,212,349,2,155,0,0,1,0,0,1,68,0,Beginner,60,"Set up CI/CD workflows, Add Docker support"
hc990275,yx,hc990275/yx,https://github.com/hc990275/yx,JavaScript,12,10,0,33888,1,0,1,0,1,0,534,0,Beginner,40,"Add unit/integration tests, Add Docker support"
newrelic,node-newrelic,newrelic/node-newrelic,https://github.com/newrelic/node-newrelic,JavaScript,1002,420,56,35065,0,1,1,1,1,1,4948,0,Production Ready,90,Great job! Keep it up.
cms-sw,cms-sw.github.io,cms-sw/cms-sw.github.io,https://github.com/cms-sw/cms-sw.github.io,JavaScript,25,60,4,620438,1,1,1,0,1,0,4432,0,Beginner,48,"Add unit/integration tests, Add Docker support"
qimaoww,luci-app-lanspeed,qimaoww/luci-app-lanspeed,https://github.com/qimaoww/luci-app-lanspeed,JavaScript,13,5,2,25724,1,0,1,0,1,1,74,0,Intermediate,53,Add Docker support
z3r0l1nk,pager_page,z3r0l1nk/pager_page,https://github.com/z3r0l1nk/pager_page,JavaScript,12,0,1,28956,1,1,1,0,1,0,154,0,Beginner,31,"Add unit/integration tests, Add Docker support"
webtorrent,magnet-uri,webtorrent/magnet-uri,https://github.com/webtorrent/magnet-uri,JavaScript,236,49,6,184,0,0,1,0,1,1,4651,0,Intermediate,68,Add Docker support
jaeseok614,llm-gpu-checker-ko,jaeseok614/llm-gpu-checker-ko,https://github.com/jaeseok614/llm-gpu-checker-ko,JavaScript,11,0,1,942,0,1,1,0,1,0,3,0,Beginner,31,"Add unit/integration tests, Add Docker support"
webtorrent,bittorrent-protocol,webtorrent/bittorrent-protocol,https://github.com/webtorrent/bittorrent-protocol,JavaScript,357,74,9,394,0,0,1,0,1,1,4638,0,Intermediate,71,Add Docker support
narmi,design_system,narmi/design_system,https://github.com/narmi/design_system,JavaScript,38,6,14,154139,1,1,1,0,1,1,1884,0,Intermediate,56,Add Docker support
ctsfork,web,ctsfork/web,https://github.com/ctsfork/web,JavaScript,22,5,0,33252,1,1,0,0,0,0,994,0,Beginner,14,"Add a README file, Add unit/integration tests, Set up CI/CD workflows, Add Docker support"
chrisk123999,chris-premades,chrisk123999/chris-premades,https://github.com/chrisk123999/chris-premades,JavaScript,59,76,5,72791,1,0,1,0,1,0,1250,0,Beginner,51,"Add unit/integration tests, Add Docker support"
opencollective,documentation,opencollective/documentation,https://github.com/opencollective/documentation,JavaScript,15,32,2,13811,0,0,1,0,0,0,302,0,Beginner,30,"Add unit/integration tests, Set up CI/CD workflows, Add Docker support"
ifflagged,Seyoulala,ifflagged/Seyoulala,https://github.com/ifflagged/Seyoulala,JavaScript,13,3,0,83867,1,0,0,0,1,0,628,0,Beginner,27,"Add a README file, Add unit/integration tests, Add Docker support"
z0r0z,tacit,z0r0z/tacit,https://github.com/z0r0z/tacit,JavaScript,38,11,10,42981,1,0,1,0,1,1,78,0,Intermediate,58,Add Docker support
react,react,react/react,https://github.com/react/react,JavaScript,246678,51296,1218,1032437,0,1,1,0,1,0,4807,0,Production Ready,97,"Add unit/integration tests, Add Docker support"
bbc,world-service-rss,bbc/world-service-rss,https://github.com/bbc/world-service-rss,JavaScript,18,4,1,137365,1,1,1,0,1,0,537,0,Beginner,38,"Add unit/integration tests, Add Docker support"
kaanozhan,Frame,kaanozhan/Frame,https://github.com/kaanozhan/Frame,JavaScript,318,33,9,4258,0,1,1,0,1,1,183,0,Intermediate,68,Add Docker support
ITSalt,NaCl,ITSalt/NaCl,https://github.com/ITSalt/NaCl,JavaScript,23,2,1,22947,1,0,1,0,1,1,104,0,Intermediate,52,Add Docker support
Guseyn,e-ui,Guseyn/e-ui,https://github.com/Guseyn/e-ui,JavaScript,14,0,3,3826,1,0,1,0,1,0,211,0,Beginner,32,"Add unit/integration tests, Add Docker support"
nuxeo,nuxeo-elements,nuxeo/nuxeo-elements,https://github.com/nuxeo/nuxeo-elements,JavaScript,29,15,48,67367,0,1,1,0,1,1,4167,0,Intermediate,59,Add Docker support
microsoft,agent-academy,microsoft/agent-academy,https://github.com/microsoft/agent-academy,JavaScript,3060,185,8,4291063,1,1,1,0,1,0,498,0,Production Ready,65,"Add unit/integration tests, Add Docker support"
nazarli-shabnam,clevis,nazarli-shabnam/clevis,https://github.com/nazarli-shabnam/clevis,JavaScript,101,7,16,1851,1,0,1,1,1,1,121,0,Intermediate,69,Great job! Keep it up.
zhulin025,Codex-QQ-Skin,zhulin025/Codex-QQ-Skin,https://github.com/zhulin025/Codex-QQ-Skin,JavaScript,113,6,1,15048,1,0,1,0,1,1,5,0,Intermediate,59,Add Docker support
mozilla-firefox,firefox,mozilla-firefox/firefox,https://github.com/mozilla-firefox/firefox,JavaScript,12630,1346,1,5177684,0,0,1,0,1,0,723,0,Production Ready,76,"Add unit/integration tests, Add Docker support"
UI5,openui5,UI5/openui5,https://github.com/UI5/openui5,JavaScript,3302,1274,120,1156677,0,1,1,0,0,0,4607,0,Production Ready,57,"Add unit/integration tests, Set up CI/CD workflows, Add Docker support"
DeerCarbonate,Azimuth,DeerCarbonate/Azimuth,https://github.com/DeerCarbonate/Azimuth,JavaScript,48,6,3,41658,1,0,1,0,0,0,523,0,Beginner,27,"Add unit/integration tests, Set up CI/CD workflows, Add Docker support"
atkaridarshan04,cloudnative-devops-blueprint,atkaridarshan04/cloudnative-devops-blueprint,https://github.com/atkaridarshan04/cloudnative-devops-blueprint,JavaScript,26,17,2,29074,1,0,1,1,1,0,660,0,Intermediate,54,Add unit/integration tests
tharun9772,Bloxcraft-UBG,tharun9772/Bloxcraft-UBG,https://github.com/tharun9772/Bloxcraft-UBG,JavaScript,13,30,0,32597,0,1,1,0,1,0,353,0,Beginner,44,"Add unit/integration tests, Add Docker support"
webtorrent,create-torrent,webtorrent/create-torrent,https://github.com/webtorrent/create-torrent,JavaScript,356,101,10,1050,0,0,1,0,1,1,4446,0,Intermediate,72,Add Docker support
RedHatInsights,vulnerability-ui,RedHatInsights/vulnerability-ui,https://github.com/RedHatInsights/vulnerability-ui,JavaScript,14,68,20,101643,0,0,1,0,1,1,2946,0,Intermediate,62,Add Docker support
Moli-X,Tool,Moli-X/Tool,https://github.com/Moli-X/Tool,JavaScript,102,6,1,1566189,1,0,1,0,1,0,663,0,Beginner,44,"Add unit/integration tests, Add Docker support"
rullerzhou-afk,clawd-on-desk,rullerzhou-afk/clawd-on-desk,https://github.com/rullerzhou-afk/clawd-on-desk,JavaScript,5578,567,116,39976,1,0,1,0,1,1,127,0,Production Ready,86,Add Docker support
FlowFuse,flowfuse,FlowFuse/flowfuse,https://github.com/FlowFuse/flowfuse,JavaScript,393,87,999,174488,0,0,1,0,1,1,1849,0,Production Ready,72,Add Docker support
casosorg,casos,casosorg/casos,https://github.com/casosorg/casos,JavaScript,1213,87,5,1338,1,0,1,0,1,0,3305,0,Beginner,60,"Add unit/integration tests, Add Docker support"
cobusgreyling,loop-engineering,cobusgreyling/loop-engineering,https://github.com/cobusgreyling/loop-engineering,JavaScript,9233,1258,10,3016,1,1,1,0,1,0,44,0,Production Ready,75,"Add unit/integration tests, Add Docker support"
swyxio,gh-action-data-scraping,swyxio/gh-action-data-scraping,https://github.com/swyxio/gh-action-data-scraping,JavaScript,244,39,4,23572,1,0,1,0,1,0,2374,0,Beginner,53,"Add unit/integration tests, Add Docker support"
DuckBurnIncense,xin-wen-lian-bo,DuckBurnIncense/xin-wen-lian-bo,https://github.com/DuckBurnIncense/xin-wen-lian-bo,JavaScript,186,49,2,121923,1,0,1,0,1,0,1397,0,Beginner,53,"Add unit/integration tests, Add Docker support"
openwisp,openwisp-wifi-login-pages,openwisp/openwisp-wifi-login-pages,https://github.com/openwisp/openwisp-wifi-login-pages,JavaScript,193,148,39,7200,0,0,1,0,1,0,2628,0,Beginner,57,"Add unit/integration tests, Add Docker support"
fangvv,Homepage,fangvv/Homepage,https://github.com/fangvv/Homepage,JavaScript,25,2,0,400641,0,1,1,0,1,0,3437,0,Beginner,37,"Add unit/integration tests, Add Docker support"
manufosela,karajan-code,manufosela/karajan-code,https://github.com/manufosela/karajan-code,JavaScript,31,4,7,32184,1,0,1,1,1,1,162,0,Intermediate,65,Great job! Keep it up.
cwash797-cmd,Panel-Naive-Mieru-by-RIXXX,cwash797-cmd/Panel-Naive-Mieru-by-RIXXX,https://github.com/cwash797-cmd/Panel-Naive-Mieru-by-RIXXX,JavaScript,85,10,1,1268,1,0,1,0,0,1,77,0,Beginner,45,"Set up CI/CD workflows, Add Docker support"
nextcloud,contacts,nextcloud/contacts,https://github.com/nextcloud/contacts,JavaScript,634,218,437,102985,0,0,1,0,1,1,3563,0,Production Ready,76,Add Docker support
openwisp,netjsongraph.js,openwisp/netjsongraph.js,https://github.com/openwisp/netjsongraph.js,JavaScript,313,119,9,147425,1,1,1,0,1,1,3996,0,Production Ready,72,Add Docker support
Lidemy,error-baker-blog,Lidemy/error-baker-blog,https://github.com/Lidemy/error-baker-blog,JavaScript,12,5,13,70909,1,0,1,0,1,1,1843,0,Intermediate,53,Add Docker support
vtexdocs,dev-portal-content,vtexdocs/dev-portal-content,https://github.com/vtexdocs/dev-portal-content,JavaScript,24,103,57,404099,0,0,1,0,1,0,1540,0,Beginner,50,"Add unit/integration tests, Add Docker support"
santifer,career-ops,santifer/career-ops,https://github.com/santifer/career-ops,JavaScript,61200,12050,247,39810,1,0,1,1,1,1,109,0,Production Ready,100,Great job! Keep it up.
frxz751113,IPTVzb1,frxz751113/IPTVzb1,https://github.com/frxz751113/IPTVzb1,JavaScript,51,25,0,373300,1,0,1,0,1,0,713,0,Beginner,47,"Add unit/integration tests, Add Docker support"
AsiaOstrich,universal-dev-standards,AsiaOstrich/universal-dev-standards,https://github.com/AsiaOstrich/universal-dev-standards,JavaScript,70,10,4,26291,0,0,1,0,1,1,211,0,Intermediate,60,Add Docker support
Moli-X,Resources,Moli-X/Resources,https://github.com/Moli-X/Resources,JavaScript,3363,133,13,365839,1,0,1,0,1,0,1352,0,Production Ready,64,"Add unit/integration tests, Add Docker support"
PictureElement,nextjs-strapi-portfolio-starter,PictureElement/nextjs-strapi-portfolio-starter,https://github.com/PictureElement/nextjs-strapi-portfolio-starter,JavaScript,28,10,1,157875,0,0,1,0,0,0,604,0,Beginner,27,"Add unit/integration tests, Set up CI/CD workflows, Add Docker support"
iprtl,m3u,iprtl/m3u,https://github.com/iprtl/m3u,JavaScript,43,2,12,109449,1,0,1,0,1,0,3974,0,Beginner,39,"Add unit/integration tests, Add Docker support"
icekale,rednote-downloader,icekale/rednote-downloader,https://github.com/icekale/rednote-downloader,JavaScript,69,9,0,306,1,0,1,1,1,1,127,0,Intermediate,69,Great job! Keep it up.
Le0Developer,captcha-mining,Le0Developer/captcha-mining,https://github.com/Le0Developer/captcha-mining,JavaScript,11,2,0,419464,0,0,0,0,1,0,505,0,Beginner,25,"Add a README file, Add unit/integration tests, Add Docker support"
Lanlan13-14,zephyr-ssh,Lanlan13-14/zephyr-ssh,https://github.com/Lanlan13-14/zephyr-ssh,JavaScript,30,5,0,25952,1,0,1,1,1,1,88,0,Intermediate,65,Great job! Keep it up.
lightning-js,blits,lightning-js/blits,https://github.com/lightning-js/blits,JavaScript,112,41,28,5136,0,1,1,0,1,0,1038,0,Beginner,51,"Add unit/integration tests, Add Docker support"
zumerlab,snapdom,zumerlab/snapdom,https://github.com/zumerlab/snapdom,JavaScript,7960,295,5,17764,0,1,1,0,1,1,452,0,Production Ready,84,Add Docker support
canonical,anbox-streaming-sdk,canonical/anbox-streaming-sdk,https://github.com/canonical/anbox-streaming-sdk,JavaScript,13,13,4,252052,0,0,1,0,1,0,2069,0,Beginner,41,"Add unit/integration tests, Add Docker support"
MrChartist,fii-dii-data,MrChartist/fii-dii-data,https://github.com/MrChartist/fii-dii-data,JavaScript,34,17,1,7362,1,0,1,0,1,0,130,0,Beginner,44,"Add unit/integration tests, Add Docker support"
mrhenry,web-tests,mrhenry/web-tests,https://github.com/mrhenry/web-tests,JavaScript,15,3,0,820172,1,1,1,0,1,1,1996,0,Intermediate,52,Add Docker support
bbsvip,tiktok_trending_analysis,bbsvip/tiktok_trending_analysis,https://github.com/bbsvip/tiktok_trending_analysis,JavaScript,11,1,3,1495574,1,0,1,0,1,0,1029,0,Beginner,34,"Add unit/integration tests, Add Docker support"
bardiakhosravi,tenets,bardiakhosravi/tenets,https://github.com/bardiakhosravi/tenets,JavaScript,43,3,1,148,1,0,1,0,1,0,375,0,Beginner,40,"Add unit/integration tests, Add Docker support"
wmwlwmwl,Lumin-SSH,wmwlwmwl/Lumin-SSH,https://github.com/wmwlwmwl/Lumin-SSH,JavaScript,37,14,0,31787,1,0,1,0,1,0,36,0,Beginner,44,"Add unit/integration tests, Add Docker support"
LimeSurvey,LimeSurvey,LimeSurvey/LimeSurvey,https://github.com/LimeSurvey/LimeSurvey,JavaScript,3676,1110,102,1456663,0,0,1,0,1,1,5288,0,Production Ready,87,Add Docker support
nodejs,node,nodejs/node,https://github.com/nodejs/node,JavaScript,118324,36231,2360,1524089,0,0,1,0,1,1,4256,0,Production Ready,100,Add Docker support
ZiPenOk,scripts,ZiPenOk/scripts,https://github.com/ZiPenOk/scripts,JavaScript,21,2,0,2565,0,0,1,0,0,0,160,0,Beginner,22,"Add unit/integration tests, Set up CI/CD workflows, Add Docker support"
Hypfer,Valetudo,Hypfer/Valetudo,https://github.com/Hypfer/Valetudo,JavaScript,9422,502,0,254665,0,1,1,0,1,0,2933,0,Production Ready,72,"Add unit/integration tests, Add Docker support"
